record_key,doi,title,publication_year,record_type,families,screening_priority,title_priority_score,priority_reasons,source_type_bucket,source_type_next_action
doi:10.1002/ece3.73809,10.1002/ece3.73809,"Masting Breakdown in European Beech Reduces Fitness Benefits of Masting, Partly Explained by Climate Change.",2026,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ece3.73933,10.1002/ece3.73933,Nectar Robbery by Native and Invasive Bumblebees Reduces Floral Rewards but Not Seed Production in Desfontainia fulgens.,2026,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3390/agronomy16141382,10.3390/agronomy16141382,Ovule Longevity Determines the Fruit Set and Effective Pollination Period in Sweet Cherry Cultivars Under Mediterranean Climate Conditions,2026,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1139/cjb-2026-0015,10.1139/cjb-2026-0015,"Pollination and reproductive success in a spring ephemeral forest plant, Claytonia caroliniana : stuck between the cold and the shade",2026,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1365-2656.70341,10.1111/1365-2656.70341,Weathering the storm: Most maternal and environmental drivers of individual reproductive success do not scale up to population recruitment in a large herbivore.,2026,Journal Article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3390/agronomy15040909,10.3390/agronomy15040909,Abilities of the Newly Introduced Apple Cultivars (Malus × domestica Borkh.) ‘Eden’ and ‘Fryd’ to Promote Pollen Tube Growth and Fruit Set with Different Combinations of Pollinations,2025,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1111/1442-1984.70027,10.1111/1442-1984.70027,Fire‐induced disturbances in Malpighiaceae sequential flowering: Implications for pollination services and plant reproductive success,2025,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3390/biology14010100,10.3390/biology14010100,"Impact of Seasonal Atmospheric Factors and Photoperiod on Floral Biology, Plant-Pollinator Interactions, and Plant Reproduction on Turnera ulmifolia L. (Passifloraceae).",2025,Journal Article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1590/1519-6984.287794,10.1590/1519-6984.287794,"Is there interspecific fruit set in distylous, synchronopatric species of Erythroxylum P. Browne (Erythroxylaceae)?",2025,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1007/s42690-025-01533-4,10.1007/s42690-025-01533-4,Larval temperature variability alters reproduction and population growth in false codling moth Thaumatotibia leucotreta (Meyrick) (Lepidoptera: Tortricidae),2025,article,antagonist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3998/glbot.7730,10.3998/glbot.7730,Latitudinal Variation in Phenology and Reproduction Among Seed Sources of Asclepias syriaca L. (Common Milkweed),2025,article,mutualist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.1002/ece3.72391,10.1002/ece3.72391,Mixed Bat‐Hummingbird Pollination Assures Reproductive Success in a Highly Variable Upper Montane Species,2025,article,mutualist,P2,6,identified_partner_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
doi:10.3389/fpls.2025.1690015,10.3389/fpls.2025.1690015,Optimizing fitness: plastic flowering time in variable environments.,2025,Journal Article,antagonist,P2,6,timing_title;final_reproduction_title;published_article_type,published_research_candidate,manual_biological_estimand_screen
