site,year,natural_seed_set,n_seed_set,mismatch_day,strict_h1_eligible,strict_h1_reason
NFP,1999,0.34,28,4,true,flowering_on_or_before_bee_detection
NFP,2000,0.41,31,1,true,flowering_on_or_before_bee_detection
NFP,2001,0.54,39,1,true,flowering_on_or_before_bee_detection
NFP,2002,0.14,40,7,true,flowering_on_or_before_bee_detection
NFP,2003,0.25,44,7,true,flowering_on_or_before_bee_detection
NFP,2004,,,,false,missing_seed_set
NFP,2005,0.35,48,3,true,flowering_on_or_before_bee_detection
NFP,2006,0.15,41,1,true,flowering_on_or_before_bee_detection
NFP,2007,0.50,20,2,true,flowering_on_or_before_bee_detection
NFP,2008,0.29,37,7,true,flowering_on_or_before_bee_detection
NFP,2009,0.32,46,7,true,flowering_on_or_before_bee_detection
NFP,2010,0.57,55,-1,false,partner_detected_before_flowering
NFP,2011,0.66,53,1,true,flowering_on_or_before_bee_detection
NFP,2012,0.57,50,0,true,exact_onset_match
TOEF,1999,0.58,40,3,true,flowering_on_or_before_bee_detection
TOEF,2000,0.38,32,5,true,flowering_on_or_before_bee_detection
TOEF,2001,0.48,35,1,true,flowering_on_or_before_bee_detection
TOEF,2002,0.04,40,7,true,flowering_on_or_before_bee_detection
TOEF,2003,0.44,40,4,true,flowering_on_or_before_bee_detection
TOEF,2004,0.16,40,,false,missing_mismatch
TOEF,2005,0.35,21,5,true,flowering_on_or_before_bee_detection
TOEF,2006,0.20,60,7,true,flowering_on_or_before_bee_detection
TOEF,2007,0.78,30,-1,false,partner_detected_before_flowering
TOEF,2008,0.44,28,2,true,flowering_on_or_before_bee_detection
JOZ,1999,0.74,40,,false,missing_mismatch
JOZ,2000,0.64,60,,false,missing_mismatch
JOZ,2001,0.73,41,,false,missing_mismatch
JOZ,2002,0.32,40,5,true,flowering_on_or_before_bee_detection
JOZ,2003,0.60,60,2,true,flowering_on_or_before_bee_detection
JOZ,2004,0.30,43,,false,missing_mismatch
JOZ,2005,0.75,46,,false,missing_mismatch
JOZ,2006,0.49,31,,false,missing_mismatch
JOZ,2007,0.78,29,-7,false,partner_detected_before_flowering
JOZ,2008,0.20,40,5,true,flowering_on_or_before_bee_detection
JOZ,2009,0.64,37,-8,false,partner_detected_before_flowering
JOZ,2010,0.54,45,,false,missing_mismatch
JOZ,2011,0.64,47,-1,false,partner_detected_before_flowering
JOZ,2012,0.53,49,2,true,flowering_on_or_before_bee_detection
